,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
333,isangel,-19.55,169.2667,23.06,78,75,0.0,VU,1626215631
334,castro,-24.7911,-50.0119,13.7,65,47,0.86,BR,1626215520
335,busselton,-33.65,115.3333,8.91,74,45,7.72,AU,1626215500
336,saskylakh,71.9167,114.0833,7.93,56,75,7.91,RU,1626215571
337,salalah,17.0151,54.0924,28.05,83,90,2.57,OM,1626215571
338,ushuaia,-54.8,-68.3,0.81,86,40,4.63,AR,1626215424
339,hermanus,-34.4187,19.2345,9.39,73,29,3.91,ZA,1626215592
340,yellowknife,62.456,-114.3525,24.05,40,20,7.72,CA,1626215511
341,pevek,69.7008,170.3133,4.7,87,83,2.41,RU,1626216032
342,sambava,-14.2667,50.1667,20.08,87,37,4.75,MG,1626216033
343,punta arenas,-53.15,-70.9167,-0.94,93,0,1.54,CL,1626215380
344,shingu,33.7333,135.9833,26.62,71,29,1.49,JP,1626215664
345,kapaa,22.0752,-159.319,29.18,74,90,1.34,US,1626215536
346,rikitea,-23.1203,-134.9692,23.25,73,7,6.52,PF,1626215505
347,rikitea,-23.1203,-134.9692,23.25,73,7,6.52,PF,1626215492
348,huilong,31.8111,121.655,27.77,89,99,6.59,CN,1626215573
349,krasnoarmeysk,51.0239,45.6969,16.71,65,28,3.62,RU,1626215574
350,bluff,-46.6,168.3333,8.34,72,98,8.49,NZ,1626215501
351,albany,42.6001,-73.9662,25.1,87,94,1.79,US,1626215444
352,fort nelson,58.8053,-122.7002,27.77,36,40,1.54,CA,1626215405
353,cherskiy,68.75,161.3,5.96,78,100,1.5,RU,1626215528
354,aklavik,68.2191,-135.0107,15.4,67,100,6.7,CA,1626215575
355,qui nhon,13.7667,109.2333,26.0,84,97,1.5,VN,1626215575
356,barrow,71.2906,-156.7887,1.01,86,90,3.6,US,1626215516
357,vila velha,-20.3297,-40.2925,25.54,74,40,1.54,BR,1626215903
358,punta arenas,-53.15,-70.9167,-0.94,93,0,1.54,CL,1626215380
359,puerto ayora,-0.7393,-90.3518,25.98,85,53,4.63,EC,1626215576
360,vaini,-21.2,-175.2,26.09,89,75,3.6,TO,1626215499
361,olinda,-8.0089,-34.8553,24.85,69,40,5.66,BR,1626215576
362,bandarbeyla,9.4942,50.8122,28.7,57,99,14.21,SO,1626215670
363,galesong,-5.3166,119.3661,22.01,72,50,4.6,ID,1626216035
364,muriti,-1.9833,32.9167,22.77,65,39,3.81,TZ,1626216036
365,busselton,-33.65,115.3333,8.91,74,45,7.72,AU,1626215500
366,ushuaia,-54.8,-68.3,0.81,86,40,4.63,AR,1626215428
367,carnarvon,-24.8667,113.6333,15.04,64,75,1.54,AU,1626216036
